pea	1.76	4.76	0.13	0.000034	0	0.00025	0.0000158	0.0378	0.000101	36.00
peanut	16.25	10.16	31.02	0	0	0.00525	0	0	0.000219	357.00
pizza	35	89.79	37.68	0.000219	0	0.00318	0.0000465	0	0.000321	840.00
popcorn	3.4	22.08	1.19	0		0	0	0	0.000069	108.00
pork chop	32.4	1.09	14.58	0.000005	0	0.00028	0	0	0.000675	265.00
salad	2.45	20.23	11.75	0.000024	0.0000001	0.00085	0.0000179	0.001	0.000144	196.00
sandwich	22.6	33.09	15.35	0.000003	0	0.00064	0.0000042	0	0.00032	364.00
Soft-drink										0.00
sphagetti	31.52	84.36	21.05	0.000075	0	0.00365	0.0000177	0.0043	0.00065	655.00
strawberry	1.34	15.36	0.6	0.000002	0	0.00058	0.000044	0.1176	0.000109	64.00
suasage	8.15	0.64	19.2	0	0.0000007	0.00017	0	0	0.000029	210.00
sushi										0.00
tangerine	0.97	16.01	0.37	0.000041	0	0.00024	0	0.032	0.000094	64.00
tomato	1.6	7.08	0.36	0.000076	0	0.00098	0.0000144	0.0249	0.000146	33.00
watermelon	1.74	21.59	0.43	0.00008	0	0.00014	0.0000003	0.0232	0.000129	86.00
Noodles	7.26	40.26	3.31	0.00001	0.0000002	0.00027	0	0	0.000074	221
omelet	6.45	0.39	7.11	0.000105	0.000001	0.00079	0.0000027	0	0.000087	94.00
Pancakes	4.93	21.79	7.47	0.000042	0	0	0	0.0002	0.000035	175.00
Milk	8.22	12.18	2.37	0.000034	0	0.00002	0.0000002	0	0.00009	102.00
Chocolate	7.91	99.1	50.67	0.003	0	0.00087	0.0000131	0	0.000068	885.00
PADTHAI NOODLES	16.99	10.21	0	0	0	0	0	0	0	632.00
FRIED CRISPY PORK SKINS	6.429	0	3.571	0	0	0	0	0	0	57.10
GREEN CURRY SOUP	2	9	29	0	0	0	0	0	0	310.00
TOM YUM	0	5	1	0	0	0	0	0	0	36.00
buffaro wing	1	2	4.5	0.00006	0	0	0	0	0	50.00
cooked white jasmine	3	33	0	0	0	0	0	0	0	150.00
chicken fried rice	15	50	5	0.0009	0	0	0	0	0	310.00
roated chicken rice	9	88.21	5.4	0.000809	0	0	0	0	0	449.00
coconut water	0.36	1.85	0.1	0	0	0	0	0.0012	0.000000016	10.00
thai tea	3.01	40	1.01	0	0	0	0	0	0	189.00
coca cola	0.24	33.17	0.17	0	0	0	0	0	0	128.00
bubble tea	0	28.01	1.49	0	0	0	0	0	0	120.00
orange juice	0.6	8.94	0.17	0.000009	0	0.00003	0.0000001	0.043	0.000034	39.00
yogurt	17.32	6.12	0.66	0.000002	0	0.00002	0	0	0.000107	100.00
chupa chup	0	12	0	0	0	0	0	0	0	50.00
sticky rice	6.01	74.99	0.5	0	0	0	0	0	0	340.00
snack cake	1.46	26.89	4.85	0.000002	0	0.00026	0.0000041	0	0	157.00
watermelon juice	2.02	31	0.5	0.00045	0	0	0	0.072	0	130.00
pineapple	1.3	31.49	0.29	0.000007	0	0.00005	0.0000017	0.1147	0.000269	120.00
cantaloupe	1.68	16.32	0.38	0.000338	0	0.0001	0.000005	0.0734	0.000144	68.00
shrimp	17.09	0	0.43	0	0	0	0	0	0	72.00
ËæÃ¡	13.24	2.62	1.17	0.000008	0	0.00102	0	0.004	0.000048	78.00
