apple	0.58	30.8	0.38	0.000007	0	0.0004	0.0000049	0.0103	0.000091	116
banana	1.29	26.95	0.39	0.000004	0	0.00012	0.0000006	0.0103	0.000433	105.00
beef steak	131	0	38.6	0	0.000045	0.00181	0.0000064	0	0.00286	907.00
Beef T-bone	104.7	0	34.41	0.000007	0.0000004	0.00088	0.0000055	0	0.0027	758.00
bread	3.09	13.79	1.31	0	0	0.00006	0.0000014	0.0001	0.000032	79.00
broccoli	0.87	2.06	0.11	0.00001	0	0.00024	0.0000315	0.0277	0.000054	11.00
cabbage	1.14	5.16	0.09	0.000004	0	0.00013	0.0000676	0.0326	0.00011	22.00
carrot	0.47	4.79	0.12	0.000418	0	0.00033	0.0000066	0.003	0.000069	20.00
egg	7.03	0.4	5.33	0.00009	0.0000011	0.00059	0.0000002	0	0.000095	80.00
fish and chip										0.00
french fries	5.93	63.24	23.87	0	0	0.0017	0.000061	0.0019	0.000401	491.00
fried chicken	31.61	35.51	27.09	0.000004	0	0.00212	0	0	0.000852	513.00
guava	1.4	7.88	0.52	0.000017	0	0.004	0.0000014	0.125	0.00061	37.00
Hamburger	14.7	26.4	10.44	0	0	0.00004	0.0000054	0	0	258.00
hotdog										0.00
ice cream	3.63	22.39	3.67	0.000097	0.0000001	0.00009	0.0000003	0.0009	0.000034	137.00
Ichitan										0.00
kebab										0.00
lasagna	49.49	51.92	48.85	0.00037	0	0.00416	0.0000311	0.0032	0.000558	845.00
macaroni	16.6	40.04	29.58	0.000172	0	0.00193	0.0000254	0	0.000139	493.00
mango	2.76	50.33	1.28	0.000181	0	0.00302	0.0000141	0.1223	0.0004	202.00
mashed potato	3.99	35.45	6.82	0.000104	0	0.00102	0.0000143	0	0.00029	215.00
onion	0.11	0.93	0.01	0	0	0	0.0000002	0.0028	0.000046	15.00
